"2020-030","2020-030-01","2020-030-01-01","2020-030-01-01-01",4/22/2021,1,,"141 S. Ct. 1341","209 L. Ed. 2d 361","2021 U.S. LEXIS 2108",2020,1709,"Roberts","19-508","AMG CAPITAL MANAGEMENT, LLC v. FEDERAL TRADE COMMISSION",1/13/2021,,135,,357,,1,,,0,90,,29,,0,2,2,2,1,4,0,1,0,0,80170,8,1,,4,,3,337,,110,111,1,9,0
"2020-031","2020-031-01","2020-031-01-01","2020-031-01-01-01",6/29/2021,1,,"141 S. Ct. 2271","210 L. Ed. 2d 656","2021 U.S. LEXIS 3562",2020,1709,"Roberts","19-897","JOHNSON v. GUZMAN CHAVEZ",1/11/2021,,368,,106,,1,,,0,126,,24,,1,2,2,2,1,3,0,1,0,0,20110,2,1,0,4,,3,344,,112,111,1,6,3
"2020-032","2020-032-01","2020-032-01-01","2020-032-01-01-01",3/8/2021,1,,"141 S. Ct. 792","209 L. Ed. 2d 94","2021 U.S. LEXIS 1372",2020,1709,"Roberts","19-968","UZUEGBUNAM v. PRECZEWSKI",1/12/2021,,239,,26,13,1,,,0,60,,31,,0,11,2,1,1,4,0,1,0,0,90260,9,2,0,1,,1,139,,108,108,1,8,1
"2020-033","2020-033-01","2020-033-01-01","2020-033-01-01-01",12/18/2020,6,,"141 S. Ct. 530","208 L. Ed. 2d 365","2020 U.S. LEXIS 6105",2020,1709,"Roberts","20-366","TRUMP v. NEW YORK",11/30/2020,,19,60,28,37,2,,,1,96,,96,,0,1,,2,1,5,0,1,0,0,90310,9,1,0,1,,1,139,,,111,1,6,3
"2020-035","2020-035-01","2020-035-01-01","2020-035-01-01-01",11/2/2020,2,,"141 S. Ct. 52","208 L. Ed. 2d 164","2020 U.S. LEXIS 5193",2020,1709,"Roberts","19-1261","TAYLOR v. RIOJAS",,,215,,8,51,1,,,,120,,25,,0,12,7,1,1,5,0,1,0,0,10140,1,2,0,3,,2,221,,,111,1,7,1
"2020-036","2020-036-01","2020-036-01-01","2020-036-01-01-01",11/2/2020,2,,"141 S. Ct. 48","208 L. Ed. 2d 158","2020 U.S. LEXIS 5192",2020,1709,"Roberts","19-1108","MCKESSON v. DOE",,,218,,208,,1,,,,76,,25,,1,12,7,3,1,5,0,1,0,0,140060,14,3,0,3,,8,800,,,111,1,7,1
"2020-037","2020-037-01","2020-037-01-01","2020-037-01-01-01",12/14/2020,2,,"141 S. Ct. 517","208 L. Ed. 2d 353","2020 U.S. LEXIS 6092",2020,1709,"Roberts","19-1302","SHINN v. KAYER",,,7,4,215,,1,,,0,29,,45,,1,12,1,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,,,111,1,6,3
"2020-038","2020-038-01","2020-038-01-01","2020-038-01-01-01",4/1/2021,1,,"141 S. Ct. 1150","209 L. Ed. 2d 287","2021 U.S. LEXIS 1740",2020,1709,"Roberts","19-1231","FEDERAL COMMUNICATIONS COMMISSION v. PROMETHEUS RADIO PROJECT",1/19/2021,,338,,134,,1,38,,0,23,,23,,1,12,8,2,1,3,0,1,0,0,80320,8,1,,3,,3,326,,116,111,1,9,0
"2020-039","2020-039-01","2020-039-01-01","2020-039-01-01-01",5/17/2021,1,,"141 S. Ct. 1532","209 L. Ed. 2d 631","2021 U.S. LEXIS 2586",2020,1709,"Roberts","19-1189","BP P.L.C. v. MAYOR AND CITY COUNCIL OF BALTIMORE",1/19/2021,,198,,3,25,1,,,0,79,,24,,0,2,2,1,1,5,0,1,0,0,90090,9,2,0,4,,6,600,"28 U.S.C. 1442",115,111,1,7,1
"2020-040","2020-040-01","2020-040-01-01","2020-040-01-01-01",4/1/2021,1,,"1415 S. Ct. 1175","209 L. Ed. 2d 301","2021 U.S. LEXIS 1741",2020,1709,"Roberts","22O142","FLORIDA v. GEORGIA",2/22/2021,,28,12,28,13,9,,,0,,,,,,1,,,1,9,0,0,0,0,110020,11,3,,3,,1,140,,117,111,1,9,0
"2020-042","2020-042-01","2020-042-01-01","2020-042-01-01-01",6/1/2021,1,,"141 S. Ct. 1669","210 L. Ed. 2d 11","2021 U.S. LEXIS 2740",2020,1709,"Roberts","19-1155","GARLAND v. MING DAI",2/23/2021,,1,,106,,1,7,,0,29,,29,,1,2,1,2,1,5,0,1,0,0,20310,2,1,,4,,3,344,,115,111,1,9,0
"2020-043","2020-043-01","2020-043-01-01","2020-043-01-01-01",6/23/2021,1,,"141 S. Ct. 2011","210 L. Ed. 2d 486","2021 U.S. LEXIS 3396",2020,1709,"Roberts","20-18","LANGE v. CALIFORNIA",2/24/2021,,126,,28,6,1,,,0,302,6,301,6,0,4,2,1,1,5,0,1,0,0,10050,1,2,,2,,2,205,,114,111,1,9,0
"2020-044","2020-044-01","2020-044-01-01","2020-044-01-01-01",6/21/2021,1,,"141 S. Ct. 1970","210 L. Ed. 2d 268","2021 U.S. LEXIS 3124",2020,1709,"Roberts","19-1434","UNITED STATES v. ARTHREX INC.",3/1/2021,,27,,172,,1,94,,0,8,,8,,0,11,5,3,2,5,0,2,0,0,130015,13,3,0,1,,1,135,,111,111,1,5,4
"2020-046","2020-046-01","2020-046-01-01","2020-046-01-01-01",7/1/2021,1,,"141 S. Ct. 2321","210 L. Ed. 2d 753","2021 U.S. LEXIS 3568",2020,1709,"Roberts","19-1257","BRNOVICH v. DEMOCRATIC NATIONAL COMMITTEE",3/2/2021,,7,4,211,,1,,,0,45,,29,,1,12,4,2,1,4,0,1,0,0,20020,2,1,0,4,,3,378,,112,111,1,6,3
"2020-047","2020-047-01","2020-047-01-01","2020-047-01-01-01",4/22/2021,1,,"141 S. Ct. 1352","209 L. Ed. 2d 376","2021 U.S. LEXIS 2109",2020,1709,"Roberts","19-1442","CARR v. SAUL, COMMISSIONER OF SOCIAL SECURITY",3/3/2021,,140,,406,,1,106,,0,106,,30,,0,2,3,1,1,4,0,1,0,0,90120,9,2,,3,,1,135,,113,111,1,9,0
"2020-049","2020-049-01","2020-049-01-01","2020-049-01-01-01",6/1/2021,1,,"141 S. Ct. 1638","210 L. Ed. 2d 11","2021 U.S. LEXIS 2816",2020,1709,"Roberts","19-1414","UNITED STATES v. COOLEY",3/23/2021,,27,,100,,1,,,0,88,,29,,1,11,2,1,1,5,0,1,0,0,20150,2,2,,1,,5,502,,110,111,1,9,0
"2020-051","2020-051-01","2020-051-01-01","2020-051-01-01-01",6/23/2021,1,,"141 S. Ct. 2063","210 L. Ed. 2d 369","2021 U.S. LEXIS 3394",2020,1709,"Roberts","20-107","CEDAR POINT NURSERY v. HASSID",3/22/2021,,152,,249,,1,,,0,49,,29,,1,12,2,2,3,4,0,1,0,0,40070,4,1,0,2,,2,211,,111,111,1,6,3
"2020-052","2020-052-01","2020-052-01-01","2020-052-01-01-01",5/17/2021,1,,"141 S. Ct. 1596","209 L. Ed. 2d 604","2021 U.S. LEXIS 2582",2020,1709,"Roberts","20-157","CANIGLIA v. STROM",3/24/2021,,227,,19,47,1,,,0,113,,21,,0,12,2,1,1,5,0,1,0,0,10050,1,2,,2,,2,205,,108,111,1,9,0
"2020-053","2020-053-01","2020-053-01-01","2020-053-01-01-01",6/21/2021,1,,"141 S. Ct. 1951","210 L. Ed. 2d 347","2021 U.S. LEXIS 3391",2020,1709,"Roberts","20-222","GOLDMAN SACHS GROUP INC. v. ARKANSAS TEACHER RETIREMENT SYSTEM",3/29/2021,,119,,237,,1,,,0,96,,22,,1,12,2,2,1,5,0,1,0,0,80120,8,1,0,7,4,3,365,,117,111,1,5,4
"2020-054","2020-054-01","2020-054-01-01","2020-054-01-01-01",6/25/2021,1,,"141 S. Ct. 2190","210 L. Ed. 2d 568","2021 U.S. LEXIS 3401",2020,1709,"Roberts","20-297","TRANSUNION LLC v. RAMIREZ",3/30/2021,,122,,134,,1,,,0,50,,29,,1,12,2,2,1,4,0,1,0,0,90230,9,1,0,1,7,1,139,,116,111,1,5,4
"2020-055","2020-055-01","2020-055-01-01","2020-055-01-01-01",6/21/2021,1,,"141 S. Ct. 2141","210 L. Ed. 2d 314","2021 U.S. LEXIS 3123",2020,1709,"Roberts","20-512","NATIONAL COLLEGIATE ATHLETIC ASSOCIATION v. ALSTON",3/31/2021,,192,,239,,1,,,0,50,,29,,0,11,2,2,1,2,0,0,0,0,80010,8,2,,4,7,3,367,,115,111,1,9,0
"2020-056","2020-056-01","2020-056-01-01","2020-056-01-01-01",7/1/2021,7,,"141 S. Ct. 2373","210 L. Ed. 2d 716","2021 U.S. LEXIS 3569",2020,1709,"Roberts","19-251","AMERICANS FOR PROSPERITY FOUNDATION v. BONTA",4/26/2021,,192,,7,6,1,,,0,48,,29,,1,12,4,1,3,4,0,1,0,0,30010,3,2,0,2,,2,201,,111,111,1,6,3
"2020-057","2020-057-01","2020-057-01-01","2020-057-01-01-01",6/23/2021,1,,"141 S. Ct. 2038","210 L. Ed. 2d 403","2021 U.S. LEXIS 3395",2020,1709,"Roberts","20-255","MAHANOY AREA SCHOOL DISTRICT v. B.L.",4/28/2021,,21,45,239,,1,,,0,110,,23,,0,11,2,2,1,2,0,0,0,0,30010,3,2,,2,,2,200,,110,111,1,8,1
"2020-058","2020-058-01","2020-058-01-01","2020-058-01-01-01",6/7/2021,1,,"141 S. Ct. 1809","210 L. Ed. 2d 52","2021 U.S. LEXIS 2960",2020,1709,"Roberts","20-315","SANCHEZ v. MAYORKAS",4/19/2021,,106,,422,,1,,,0,92,,23,,0,2,3,1,1,2,0,0,0,0,20260,2,1,,4,,6,600,"8 U.S.C. 1255",114,111,1,9,0
"2020-059","2020-059-01","2020-059-01-01","2020-059-01-01-01",5/27/2021,1,,"141 S. Ct. 1628","209 L. Ed. 2d 712","2021 U.S. LEXIS 2738",2020,1709,"Roberts","20-334","CITY OF SAN ANTONIO, TEXAS v. HOTELS.COM, L.P.",4/21/2021,,3,51,133,,1,,,0,122,,25,,0,12,2,1,1,2,0,0,0,0,90110,9,1,,4,,4,400,,112,111,1,9,0
"2020-060","2020-060-01","2020-060-01-01","2020-060-01-01-01",5/24/2021,1,,"141 S. Ct. 1608","209 L. Ed. 2d 691","2021 U.S. LEXIS 2734",2020,1709,"Roberts","20-382","GUAM v. UNITED STATES",4/26/2021,,28,14,27,,1,,,0,55,,32,,0,12,4,1,1,4,0,1,0,0,80130,8,2,,4,,6,600,"CERCLA, 42 U.S.C. 113",108,111,1,9,0
"2020-061","2020-061-01","2020-061-01-01","2020-061-01-01-01",5/24/2021,1,,"141 S. Ct. 1615","209 L. Ed. 2d 703","2021 U.S. LEXIS 2730",2020,1709,"Roberts","20-437","UNITED STATES v. PALOMAR-SANTIAGO",4/27/2021,,27,,106,,1,,,0,90,,29,,0,2,2,2,1,4,0,1,0,0,10480,1,1,,4,,6,600,"8 U.S.C. 1326",113,111,1,9,0
"2020-062","2020-062-01","2020-062-01-01","2020-062-01-01-01",6/29/2021,1,,"141 S. Ct. 2298","210 L. Ed. 2d 689","2021 U.S. LEXIS 3563",2020,1709,"Roberts","20-440","MINERVA SURGICAL INC. v. HOLOGIC INC.",4/21/2021,,172,,172,,1,,,0,54,,8,,0,10,7,1,1,5,0,1,0,0,80180,8,2,0,7,4,6,600,"Patent Acts",114,111,1,5,4
"2020-064","2020-064-01","2020-064-01-01","2020-064-01-01-01",6/25/2021,1,,"141 S. Ct. 2172","210 L. Ed. 2d 547","2021 U.S. LEXIS 3399",2020,1709,"Roberts","20-472","HOLLYFRONTIER CHEYENNE REFINING, LLC v. RENEWABLE FUELS ASSOCIATION",4/27/2021,,198,,198,,1,33,,0,30,,30,,0,11,5,2,1,3,0,1,0,0,80290,8,1,0,4,,6,600,"121 Stat. 1519",115,111,1,6,3
"2020-065","2020-065-01","2020-065-01-01","2020-065-01-01-01",6/25/2021,1,,"141 S. Ct. 2434","210 L. Ed. 2d 517","2021 U.S. LEXIS 3400",2020,1709,"Roberts","20-543","YELLEN v. CONFEDERATED TRIBES OF THE CHEHALIS RESERVATION",4/19/2021,,408,,170,,1,,,0,55,,32,,0,2,3,2,1,4,0,1,0,0,20150,2,1,0,4,,6,600,"42 U. S. C. 801",113,111,1,6,3
"2020-066","2020-066-01","2020-066-01-01","2020-066-01-01-01",6/14/2021,1,,"141 S. Ct. 1858","210 L. Ed. 2d 108","2021 U.S. LEXIS 3111",2020,1709,"Roberts","20-5904","TERRY v. UNITED STATES",5/4/2021,,215,,27,,1,,,0,58,,31,,0,12,2,1,1,2,0,0,0,0,10510,1,1,,4,,6,600,"First Step Act,",108,111,1,9,0
"2020-067","2020-067-01","2020-067-01-01","2020-067-01-01-01",6/14/2021,1,,"141 S. Ct. 2090","210 L. Ed. 2d 121","2021 U.S. LEXIS 3118",2020,1709,"Roberts","19-8709","GREER v. UNITED STATES",4/20/2021,,126,,27,,1,,,0,56,,31,,0,2,2,1,1,2,0,0,0,0,10040,1,1,,4,,4,401,,116,111,1,9,0
"2020-068","2020-068-01","2020-068-01-01","2020-068-01-01-01",6/29/2021,1,,"141 S. Ct. 2244","210 L. Ed. 2d 624","2021 U.S. LEXIS 3564",2020,1709,"Roberts","19-1039","PENNEAST PIPELINE CO. v. NEW JERSEY",4/28/2021,,148,,28,35,1,44,,,92,,23,,0,11,5,1,1,4,0,1,0,0,40070,4,2,0,1,,2,211,,111,111,1,5,4
"2020-070","2020-070-01","2020-070-01-01","2020-070-01-01-01",3/29/2021,2,,"141 S. Ct. 1145","209 L. Ed. 2d 265","2021 U.S. LEXIS 1736",2020,1709,"Roberts","20-507","MAYS, WARDEN v. HINES",,,7,50,215,,1,,,0,117,,26,,1,12,3,2,1,3,0,1,0,0,10020,1,1,0,4,,3,341,,,111,1,8,1
"2020-071","2020-071-01","2020-071-01-01","2020-071-01-01-01",4/26/2021,2,,"141 S. Ct. 1467","209 L. Ed. 2d 431","2021 U.S. LEXIS 2224",2020,1709,"Roberts","20-940","ALASKA v. WRIGHT",,,28,2,126,,1,,,0,44,,29,,0,12,4,2,1,5,0,1,0,0,10020,1,1,,4,3,3,341,,,111,1,9,0
"2020-072","2020-072-01","2020-072-01-01","2020-072-01-01-01",7/2/2021,2,,"141 S. Ct. 2405","210 L. Ed. 2d 812","2021 U.S. LEXIS 3590",2020,1709,"Roberts","20-1084","DUNN v. REEVES",,,7,1,215,,1,,,0,43,,31,,0,12,6,2,1,4,0,1,0,0,10020,1,1,0,3,,3,341,,,111,1,6,3
"2020-073","2020-073-01","2020-073-01-01","2020-073-01-01-01",6/28/2021,2,,"141 S. Ct. 2226","210 L. Ed. 2d 617","2021 U.S. LEXIS 3557",2020,1709,"Roberts","20-1212","PAKDEL v. CITY AND COUNTY OF SAN FRANCISCO",,,195,,3,6,1,,,0,50,,29,,1,12,2,2,3,5,0,1,0,0,40070,4,1,,2,,2,211,,,111,1,9,0
"2020-074","2020-074-01","2020-074-01-01","2020-074-01-01-01",6/28/2021,2,,"141 S. Ct. 2239","210 L. Ed. 2d 609","2021 U.S. LEXIS 3547",2020,1709,"Roberts","20-391","LOMBARDO v. ST. LOUIS",,,202,,3,30,1,,,0,86,,28,,0,12,2,1,1,5,0,1,0,0,40040,4,2,0,3,,2,207,,,111,1,6,3
